	Casette	delCLIP	OriLyt	WT	delNucFoci
host	4586050	419058.0	1227631	218159.0	177933.0
discordant	520023	199938.0	292610	404628.0	271712.0
trimmed	23878956	20453327.0	18790609	22643410.0	21107364.0
unmapped	84353	2361.0	3371	526.0	633.0
all	24316537	20754468.0	19111174	23138020.0	21471930.0
virus	18772883	19834331.0	17270368	22020623.0	20657719.0
Simple_repeat	118932	11319.0	31741	6787.0	5115.0
ncRNA	52607	4432.0	14403	2468.0	2168.0
SINE	935184	80798.0	259848	42188.0	37064.0
LINE	1321308	122798.0	348642	58862.0	47991.0
LTR	390185	36161.0	103910	18310.0	15333.0
miRNA	629	62.0	173	40.0	22.0
intron	683336	59930.0	185158	30133.0	27119.0
DNA	175399	15900.0	47272	7900.0	6898.0
CDS	107098	9762.0	31836	8932.0	4877.0
Low_complexity	14817	1285.0	3913	652.0	556.0
Satellite	135249	14854.0	30893	7535.0	5510.0
tRNA	1864	785.0	1209	2191.0	163.0
snRNA	1511	118.0	436	53.0	68.0
UTR3	42104	3326.0	11610	1812.0	1782.0
UTR5	10829	841.0	3314	459.0	474.0
srpRNA	1023	94.0	280	40.0	36.0
rRNA	5166	999.0	1895	1700.0	302.0
RC	1342	127.0	318	69.0	40.0
Unknown	587	45.0	125	22.0	13.0
Other	2227	196.0	627	121.0	105.0
scRNA	562	37.0	153	17.0	17.0
snoRNA	678	54.0	189	36.0	42.0
lncRNA	103	9.0	27	3.0	6.0
RNA	413	36.0	100	21.0	18.0
IRES	16	2.0	2		
Cis-reg	61	1.0	17	6.0	1.0
antisense	41	8.0	24	53.0	2.0
frameshift_element	14	6.0	4		
ribozyme	4		3	1.0	
annotated	4003289	363985.0	1078122	190411.0	155722.0
